Cell_line,GENE,normZ,p-value,FDR,Treatment
HeLA,SORBS1,1.71,0.956,0.996,VE821
HeLA,SORBS2,-0.64,0.261,1.05,VE821
HeLA,SORBS3,-0.37,0.355,1.04,VE821
HeLA,SORCS1,0.38,0.65,1.01,VE821
HeLA,SORCS2,0.11,0.545,1.02,VE821
HeLA,SORCS3,-1.74,0.0411,0.865,VE821
HeLA,SORL1,-0.1,0.458,1.03,VE821
HeLA,SORT1,-1.17,0.12,1.01,VE821
HeLA,SOS1,1.64,0.95,0.995,VE821
HeLA,SOS2,-0.34,0.368,1.04,VE821
HeLA,SOST,0.31,0.621,1.01,VE821
HeLA,SOSTDC1,2.06,0.98,0.995,VE821
HeLA,SOWAHA,0.01,0.505,1.02,VE821
HeLA,SOWAHB,0.57,0.717,1,VE821
HeLA,SOWAHC,1.79,0.963,0.995,VE821
HeLA,SOWAHD,1.38,0.916,0.992,VE821
HeLA,SOX1,-0.02,0.494,1.02,VE821
HeLA,SOX10,1.29,0.902,0.992,VE821
HeLA,SOX11,-0.6,0.275,1.05,VE821
HeLA,SOX12,0.36,0.641,1.01,VE821
HeLA,SOX13,0.54,0.707,1,VE821
HeLA,SOX14,0.97,0.834,0.993,VE821
HeLA,SOX15,-0.52,0.303,1.05,VE821
HeLA,SOX17,-0.56,0.288,1.05,VE821
HeLA,SOX18,0.59,0.722,1,VE821
HeLA,SOX2,0.76,0.777,0.998,VE821
HeLA,SOX21,0.33,0.631,1.01,VE821
HeLA,SOX3,-0.34,0.367,1.04,VE821
HeLA,SOX30,0.57,0.714,1,VE821
HeLA,SOX4,-0.02,0.49,1.03,VE821
HeLA,SOX5,1.51,0.935,0.994,VE821
HeLA,SOX6,0.46,0.676,1.01,VE821
HeLA,SOX7,-0.1,0.461,1.03,VE821
HeLA,SOX8,-0.02,0.494,1.02,VE821
HeLA,SOX9,0.51,0.694,1.01,VE821
HeLA,SP1,1.61,0.946,0.995,VE821
HeLA,SP100,1.22,0.889,0.992,VE821
HeLA,SP110,1.47,0.93,0.994,VE821
HeLA,SP140,-0.62,0.268,1.05,VE821
HeLA,SP140L,1.54,0.938,0.995,VE821
HeLA,SP2,-1.83,0.0333,0.828,VE821
HeLA,SP3,-0.67,0.253,1.05,VE821
HeLA,SP4,-0.64,0.261,1.05,VE821
HeLA,SP5,-0.88,0.189,1.04,VE821
HeLA,SP6,-0.04,0.485,1.03,VE821
HeLA,SP7,-0.07,0.471,1.03,VE821
HeLA,SP8,0.28,0.609,1.01,VE821
HeLA,SP9,-0.23,0.41,1.04,VE821
HeLA,SPACA1,1.39,0.917,0.993,VE821
HeLA,SPACA3,-2.78,0.00275,0.551,VE821
HeLA,SPACA4,-1.59,0.0559,0.922,VE821
HeLA,SPACA7,2.17,0.985,0.996,VE821
HeLA,SPAG1,0.76,0.775,0.997,VE821
HeLA,SPAG16,1.47,0.93,0.994,VE821
HeLA,SPAG17,0.02,0.509,1.02,VE821
HeLA,SPAG4,-0.51,0.305,1.05,VE821
HeLA,SPAG5,-0.94,0.174,1.03,VE821
HeLA,SPAG6,0.85,0.802,0.995,VE821
HeLA,SPAG7,-1.37,0.0848,0.975,VE821
HeLA,SPAG8,1.09,0.861,0.992,VE821
HeLA,SPAG9,1.98,0.976,0.995,VE821
HeLA,SPAM1,0.51,0.694,1.01,VE821
HeLA,SPARC,0.17,0.566,1.02,VE821
HeLA,SPARCL1,-0.23,0.408,1.04,VE821
HeLA,SPAST,-0.52,0.302,1.05,VE821
HeLA,SPATA12,-1.11,0.133,1.03,VE821
HeLA,SPATA13,0.48,0.685,1.01,VE821
HeLA,SPATA16,0.13,0.552,1.02,VE821
