Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,MRPL1,0.44,0.671,0.99,AZD6738
HCT116,MRPL10,-1.57,0.0584,1.06,AZD6738
HCT116,MRPL12,-0.62,0.267,1.05,AZD6738
HCT116,MRPL13,1.77,0.962,0.997,AZD6738
HCT116,MRPL14,-0.08,0.467,1.01,AZD6738
HCT116,MRPL15,2.93,0.998,1,AZD6738
HCT116,MRPL16,-0.49,0.311,1.03,AZD6738
HCT116,MRPL17,1.41,0.921,0.993,AZD6738
HCT116,MRPL18,1.27,0.897,0.99,AZD6738
HCT116,MRPL19,-0.66,0.255,1.05,AZD6738
HCT116,MRPL2,0.17,0.567,0.999,AZD6738
HCT116,MRPL20,2.15,0.984,1,AZD6738
HCT116,MRPL21,2.64,0.996,1,AZD6738
HCT116,MRPL22,-0.65,0.258,1.05,AZD6738
HCT116,MRPL23,2.57,0.995,1,AZD6738
HCT116,MRPL24,-0.14,0.445,1.02,AZD6738
HCT116,MRPL27,1.67,0.952,0.997,AZD6738
HCT116,MRPL28,1.44,0.925,0.994,AZD6738
HCT116,MRPL3,-1.16,0.123,1.08,AZD6738
HCT116,MRPL32,-0.28,0.392,1.02,AZD6738
HCT116,MRPL33,1.12,0.868,0.987,AZD6738
HCT116,MRPL34,1.76,0.961,0.997,AZD6738
HCT116,MRPL37,1.7,0.955,0.997,AZD6738
HCT116,MRPL38,0.62,0.732,0.988,AZD6738
HCT116,MRPL39,-1.79,0.0365,1,AZD6738
HCT116,MRPL4,-1.25,0.106,1.07,AZD6738
HCT116,MRPL40,2.32,0.99,1,AZD6738
HCT116,MRPL41,0,0.499,1,AZD6738
HCT116,MRPL42,0.8,0.789,0.984,AZD6738
HCT116,MRPL43,0.08,0.53,1,AZD6738
HCT116,MRPL44,2.97,0.999,1,AZD6738
HCT116,MRPL45,0.98,0.837,0.987,AZD6738
HCT116,MRPL46,0.67,0.749,0.986,AZD6738
HCT116,MRPL47,1.39,0.918,0.993,AZD6738
HCT116,MRPL49,0.33,0.628,0.992,AZD6738
HCT116,MRPL50,1.89,0.971,0.998,AZD6738
HCT116,MRPL51,0.69,0.753,0.986,AZD6738
HCT116,MRPL52,1.26,0.896,0.989,AZD6738
HCT116,MRPL53,0.52,0.697,0.99,AZD6738
HCT116,MRPL54,1.69,0.954,0.997,AZD6738
HCT116,MRPL55,0.63,0.735,0.988,AZD6738
HCT116,MRPL9,1.85,0.968,0.998,AZD6738
HCT116,MRPS11,1.42,0.922,0.993,AZD6738
HCT116,MRPS12,1.79,0.964,0.997,AZD6738
HCT116,MRPS14,2.8,0.997,1,AZD6738
HCT116,MRPS15,1.56,0.941,0.996,AZD6738
HCT116,MRPS16,2.22,0.987,1,AZD6738
HCT116,MRPS17,0.63,0.736,0.988,AZD6738
HCT116,MRPS18A,1.36,0.914,0.992,AZD6738
HCT116,MRPS18B,1.57,0.942,0.996,AZD6738
HCT116,MRPS18C,0.7,0.757,0.985,AZD6738
HCT116,MRPS2,1.11,0.866,0.987,AZD6738
HCT116,MRPS22,1.56,0.94,0.996,AZD6738
HCT116,MRPS23,2.59,0.995,1,AZD6738
HCT116,MRPS24,0.84,0.799,0.984,AZD6738
HCT116,MRPS25,1.86,0.968,0.998,AZD6738
HCT116,MRPS26,0.68,0.753,0.986,AZD6738
HCT116,MRPS27,0.75,0.774,0.984,AZD6738
HCT116,MRPS28,0.85,0.801,0.984,AZD6738
HCT116,MRPS30,0.94,0.826,0.986,AZD6738
HCT116,MRPS31,-0.58,0.28,1.04,AZD6738
HCT116,MRPS34,1.4,0.919,0.993,AZD6738
HCT116,MRPS35,0.71,0.762,0.984,AZD6738
HCT116,MRPS5,0,0.501,1.01,AZD6738
HCT116,MRPS7,1.05,0.853,0.986,AZD6738
HCT116,MRPS9,0.35,0.636,0.99,AZD6738
HCT116,MRS2,-1.48,0.069,1.05,AZD6738
HCT116,MRTO4,0.01,0.505,1.01,AZD6738
HCT116,MRVI1,1.49,0.931,0.994,AZD6738
HCT116,MS4A10,0.02,0.509,1.01,AZD6738
HCT116,MS4A12,-0.53,0.298,1.03,AZD6738
HCT116,MS4A14,0.64,0.738,0.988,AZD6738
HCT116,MS4A15,0.45,0.675,0.99,AZD6738
HCT116,MS4A2,-0.97,0.166,1.08,AZD6738
HCT116,MS4A3,0.9,0.816,0.984,AZD6738
HCT116,MS4A4A,-0.5,0.308,1.03,AZD6738
HCT116,MS4A6A,-0.52,0.302,1.03,AZD6738
