Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1-hTER_p53,LGALS14,-0.4,0.345,1.11,AZD6738
RPE1-hTER_p53,LGALS16,-0.04,0.485,1.05,AZD6738
RPE1-hTER_p53,LGALS2,-1.39,0.083,1.25,AZD6738
RPE1-hTER_p53,LGALS3,-1.29,0.0991,1.26,AZD6738
RPE1-hTER_p53,LGALS3BP,0.64,0.739,0.979,AZD6738
RPE1-hTER_p53,LGALS4,-0.44,0.331,1.12,AZD6738
RPE1-hTER_p53,LGALS8,0.95,0.83,0.971,AZD6738
RPE1-hTER_p53,LGALSL,0.34,0.633,0.998,AZD6738
RPE1-hTER_p53,LGI1,0.04,0.518,1.04,AZD6738
RPE1-hTER_p53,LGI2,2.02,0.978,0.991,AZD6738
RPE1-hTER_p53,LGI3,0.7,0.758,0.978,AZD6738
RPE1-hTER_p53,LGI4,0.34,0.633,0.998,AZD6738
RPE1-hTER_p53,LGMN,0.31,0.62,1,AZD6738
RPE1-hTER_p53,LGR4,-0.21,0.415,1.08,AZD6738
RPE1-hTER_p53,LGR5,-0.09,0.464,1.06,AZD6738
RPE1-hTER_p53,LGR6,0.71,0.76,0.978,AZD6738
RPE1-hTER_p53,LGSN,0.06,0.524,1.03,AZD6738
RPE1-hTER_p53,LHB,0.63,0.734,0.979,AZD6738
RPE1-hTER_p53,LHCGR,0.94,0.825,0.971,AZD6738
RPE1-hTER_p53,LHFP,0.4,0.656,0.992,AZD6738
RPE1-hTER_p53,LHFPL1,-0.02,0.492,1.04,AZD6738
RPE1-hTER_p53,LHFPL2,-0.74,0.229,1.18,AZD6738
RPE1-hTER_p53,LHFPL3,-0.72,0.235,1.18,AZD6738
RPE1-hTER_p53,LHFPL4,-0.55,0.289,1.15,AZD6738
RPE1-hTER_p53,LHPP,0.13,0.552,1.02,AZD6738
RPE1-hTER_p53,LHX1,0.65,0.743,0.979,AZD6738
RPE1-hTER_p53,LHX2,-0.21,0.416,1.08,AZD6738
RPE1-hTER_p53,LHX3,0.55,0.708,0.984,AZD6738
RPE1-hTER_p53,LHX4,-0.88,0.19,1.2,AZD6738
RPE1-hTER_p53,LHX5,0.05,0.52,1.04,AZD6738
RPE1-hTER_p53,LHX6,-1.85,0.0324,1.17,AZD6738
RPE1-hTER_p53,LHX8,0.35,0.635,0.997,AZD6738
RPE1-hTER_p53,LHX9,1.09,0.863,0.97,AZD6738
RPE1-hTER_p53,LIAS,0.2,0.581,1.01,AZD6738
RPE1-hTER_p53,LIF,-0.22,0.414,1.08,AZD6738
RPE1-hTER_p53,LIFR,-1.32,0.0942,1.25,AZD6738
RPE1-hTER_p53,LIG1,-1.6,0.0548,1.24,AZD6738
RPE1-hTER_p53,LIG3,0.94,0.826,0.971,AZD6738
RPE1-hTER_p53,LIG4,-0.82,0.207,1.19,AZD6738
RPE1-hTER_p53,LILRA5,-0.2,0.419,1.08,AZD6738
RPE1-hTER_p53,LILRB4,-0.19,0.426,1.08,AZD6738
RPE1-hTER_p53,LILRB5,1.05,0.852,0.97,AZD6738
RPE1-hTER_p53,LIM2,0.49,0.688,0.987,AZD6738
RPE1-hTER_p53,LIMA1,-0.17,0.433,1.07,AZD6738
RPE1-hTER_p53,LIMCH1,1.35,0.911,0.971,AZD6738
RPE1-hTER_p53,LIMD1,-0.75,0.226,1.18,AZD6738
RPE1-hTER_p53,LIMD2,-0.33,0.37,1.1,AZD6738
RPE1-hTER_p53,LIME1,2.16,0.985,0.994,AZD6738
RPE1-hTER_p53,LIMK1,-0.28,0.391,1.09,AZD6738
RPE1-hTER_p53,LIMK2,0.17,0.568,1.02,AZD6738
RPE1-hTER_p53,LIMS1,-0.2,0.422,1.08,AZD6738
RPE1-hTER_p53,LIMS2,-1.92,0.0276,1.15,AZD6738
RPE1-hTER_p53,LIN28B,-0.46,0.323,1.12,AZD6738
RPE1-hTER_p53,LIN37,2.86,0.998,0.999,AZD6738
RPE1-hTER_p53,LIN52,0.52,0.698,0.986,AZD6738
