Cell_line,GENE,normZ,p-value,FDR,Treatment
MCF10A,UXS1,0.19,0.573,1.01,AZD6738
MCF10A,UXT,-1.69,0.0458,0.99,AZD6738
MCF10A,VAC14,1,0.841,0.989,AZD6738
MCF10A,VAMP1,0.39,0.652,1,AZD6738
MCF10A,VAMP2,-2.72,0.00328,0.474,AZD6738
MCF10A,VAMP3,0.3,0.619,1,AZD6738
MCF10A,VAMP5,0.19,0.577,1.01,AZD6738
MCF10A,VAMP8,-1.2,0.115,1.07,AZD6738
MCF10A,VANGL1,0.16,0.564,1.01,AZD6738
MCF10A,VANGL2,0.45,0.672,0.995,AZD6738
MCF10A,VAPB,1.37,0.914,0.993,AZD6738
MCF10A,VARS,-2.16,0.0153,0.83,AZD6738
MCF10A,VARS2,0.55,0.708,0.993,AZD6738
MCF10A,VASH1,1.06,0.855,0.99,AZD6738
MCF10A,VASH2,1.17,0.88,0.991,AZD6738
MCF10A,VASN,-0.55,0.29,1.05,AZD6738
MCF10A,VASP,-0.57,0.283,1.05,AZD6738
MCF10A,VAT1,2.22,0.987,0.999,AZD6738
MCF10A,VAT1L,-0.44,0.329,1.04,AZD6738
MCF10A,VAV1,1.95,0.975,0.996,AZD6738
MCF10A,VAV2,-0.47,0.318,1.04,AZD6738
MCF10A,VAV3,-0.33,0.37,1.03,AZD6738
MCF10A,VAX1,0.33,0.629,1,AZD6738
MCF10A,VAX2,-1.66,0.048,0.999,AZD6738
MCF10A,VBP1,-0.64,0.26,1.05,AZD6738
MCF10A,VCAM1,-0.71,0.238,1.06,AZD6738
MCF10A,VCAN,-0.86,0.196,1.06,AZD6738
MCF10A,VCL,-0.65,0.258,1.05,AZD6738
MCF10A,VCP,-1.71,0.0434,0.985,AZD6738
MCF10A,VCPIP1,0.04,0.515,1.01,AZD6738
MCF10A,VDAC3,-0.3,0.382,1.03,AZD6738
MCF10A,VDR,-0.05,0.481,1.02,AZD6738
MCF10A,VEGFA,2.62,0.996,1,AZD6738
MCF10A,VEGFB,0.39,0.652,1,AZD6738
MCF10A,VEGFC,0.46,0.676,0.995,AZD6738
MCF10A,VENTX,-0.27,0.394,1.02,AZD6738
MCF10A,VEPH1,-0.07,0.473,1.02,AZD6738
MCF10A,VEZT,-0.35,0.363,1.03,AZD6738
MCF10A,VGF,-0.89,0.185,1.07,AZD6738
MCF10A,VGLL1,-0.33,0.37,1.03,AZD6738
MCF10A,VGLL2,-0.33,0.37,1.03,AZD6738
MCF10A,VGLL3,-0.47,0.318,1.04,AZD6738
MCF10A,VGLL4,-0.88,0.191,1.07,AZD6738
MCF10A,VHL,-1.67,0.0479,1,AZD6738
MCF10A,VHLL,0.78,0.784,0.995,AZD6738
MCF10A,VIL1,-0.26,0.396,1.02,AZD6738
MCF10A,VILL,-0.1,0.459,1.02,AZD6738
MCF10A,VIM,-0.89,0.186,1.07,AZD6738
MCF10A,VIMP,0.01,0.504,1.02,AZD6738
MCF10A,VIP,0.48,0.684,0.992,AZD6738
MCF10A,VIPAS39,1.39,0.917,0.993,AZD6738
MCF10A,VIPR1,0.33,0.628,1,AZD6738
MCF10A,VIPR2,-0.1,0.461,1.02,AZD6738
MCF10A,VIT,-0.8,0.211,1.06,AZD6738
MCF10A,VKORC1,-1.92,0.0276,0.935,AZD6738
MCF10A,VLDLR,-0.64,0.26,1.05,AZD6738
MCF10A,VMA21,-0.22,0.412,1.02,AZD6738
MCF10A,VMAC,0.38,0.648,1,AZD6738
MCF10A,VMO1,1.04,0.852,0.99,AZD6738
MCF10A,VMP1,1.15,0.875,0.99,AZD6738
MCF10A,VN1R1,0.89,0.813,0.99,AZD6738
MCF10A,VN1R2,-0.7,0.242,1.06,AZD6738
MCF10A,VNN1,-1.41,0.0794,1.06,AZD6738
MCF10A,VNN2,0.66,0.744,0.991,AZD6738
MCF10A,VOPP1,-0.5,0.308,1.04,AZD6738
MCF10A,VPREB1,-0.6,0.273,1.05,AZD6738
MCF10A,VPREB3,-1.35,0.0881,1.07,AZD6738
MCF10A,VPS13A,-0.81,0.21,1.06,AZD6738
MCF10A,VPS13B,-0.16,0.436,1.02,AZD6738
MCF10A,VPS13C,-1.38,0.0837,1.07,AZD6738
MCF10A,VPS13D,0.38,0.65,1,AZD6738
MCF10A,VPS16,1.6,0.945,0.994,AZD6738
MCF10A,VPS18,0.03,0.512,1.01,AZD6738
MCF10A,VPS26B,1.68,0.954,0.994,AZD6738
MCF10A,VPS28,-0.47,0.318,1.04,AZD6738
MCF10A,VPS29,0.56,0.714,0.992,AZD6738
MCF10A,VPS33A,-0.09,0.466,1.02,AZD6738
MCF10A,VPS33B,-0.46,0.323,1.04,AZD6738
MCF10A,VPS35,-0.37,0.356,1.03,AZD6738
MCF10A,VPS37A,-0.83,0.205,1.06,AZD6738
MCF10A,VPS37B,0.74,0.771,0.995,AZD6738
MCF10A,VPS37C,-1.3,0.0972,1.07,AZD6738
MCF10A,VPS37D,-1.16,0.122,1.07,AZD6738
MCF10A,VPS39,1.07,0.857,0.99,AZD6738
MCF10A,VPS41,0.91,0.818,0.99,AZD6738
MCF10A,VPS45,-1.23,0.11,1.07,AZD6738
MCF10A,VPS4A,-0.76,0.224,1.06,AZD6738
MCF10A,VPS4B,-1.56,0.059,1.03,AZD6738
MCF10A,VPS51,-0.26,0.399,1.02,AZD6738
